DOCID,CUSTODIAN,CATEGORY,SUBCATEGORY,STORYLINE,KEY_DOCUMENT,CONFIDENTIALITY,SUGGESTED_PRIVILEGE,EXACT_DUPLICATE,FILENAME,SUBJECT_OR_TITLE
CROWN00000319,Thomas Cromwell,noise,phishing,(noise),No,,No,No,URGENT Verify Thy Royal Account Within 24 Hours.eml,URGENT: Verify Thy Royal Account Within 24 Hours
CROWN00000320,Thomas Cromwell,routine,report,(routine),No,,No,No,The royal stables accounts quarterly.eml,The royal stables accounts (quarterly)
CROWN00000321,Queen Anne Boleyn,noise,newsletter,(noise),No,,No,No,Tudor Times Weekly  23 Sep 1528.eml,Tudor Times Weekly — 23 Sep 1528
CROWN00000322,Queen Anne Boleyn,noise,newsletter,(noise),No,,No,No,Tudor_Times_Weekly.pdf,Tudor Times Weekly — Full Issue
CROWN00000323,Queen Anne Boleyn,noise,newsletter,(noise),No,,No,No,Jousting Monthly Lists Lances  League Tables.eml,"Jousting Monthly: Lists, Lances & League Tables"
CROWN00000324,Thomas Cromwell,noise,it_notice,(noise),No,,No,No,Reminder Mandatory Doublet  Hose Compliance Training.eml,Reminder: Mandatory Doublet & Hose Compliance Training
CROWN00000325,Queen Anne Boleyn,routine,report,(routine),No,,No,No,The royal barge repairs  for approval.eml,The royal barge repairs — for approval
CROWN00000326,King Henry VIII,routine,report,(routine),No,,No,No,Note the kitchen accounts for the quarter.eml,Note: the kitchen accounts for the quarter
CROWN00000327,King Henry VIII,loose,docx,(loose),No,Internal - Privy Council,No,No,Council_Notes_15281107_henry025.docx,Privy Council Notes — 07 November 1528
CROWN00000328,King Henry VIII,narrative,great_matter,The Great Matter,No,,No,No,A wifes answer.eml,A wife's answer
CROWN00000329,Queen Anne Boleyn,loose,docx,(loose),No,Internal - Privy Council,No,No,Draft_Proclamation_anne_boleyn103.docx,Draft Proclamation touching the harvest levy
CROWN00000330,King Henry VIII,noise,newsletter,(noise),No,,No,No,Tudor Times Weekly  23 Nov 1528.eml,Tudor Times Weekly — 23 Nov 1528
CROWN00000331,Queen Anne Boleyn,noise,spam_scam,(noise),No,,No,No,CONGRATULATIONS  You Have Won the Royal Spanish Lottery 5000.eml,"CONGRATULATIONS — You Have Won the Royal Spanish Lottery (500,000 Ducats)"
CROWN00000332,Thomas Cromwell,noise,it_notice,(noise),No,,No,No,New Quill Procurement Policy  Effective Immediately.eml,New Quill Procurement Policy — Effective Immediately
CROWN00000333,King Henry VIII,narrative,great_matter,The Great Matter,No,,No,No,Concerning the Imperial ambassadors protests.eml,Concerning the Imperial ambassador's protests
CROWN00000334,Thomas Cromwell,noise,calendar,(noise),No,,No,No,Invitation Diplomatic Reception for the French Embassy.eml,Invitation: Diplomatic Reception for the French Embassy
CROWN00000335,Queen Anne Boleyn,noise,auto_reply,(noise),No,,No,No,Automatic reply The New Coinage.eml,Automatic reply: The New Coinage
CROWN00000336,Thomas Cromwell,noise,auto_reply,(noise),No,,No,No,Automatic reply The Harvest Levy.eml,Automatic reply: The Harvest Levy
CROWN00000337,Thomas Cromwell,routine,concern,(routine),No,,No,No,Re the falconry mews.eml,Re: the falconry mews
CROWN00000338,King Henry VIII,routine,approval,(routine),No,,No,No,The christmas revels quarterly.eml,The christmas revels (quarterly)
CROWN00000339,Queen Anne Boleyn,noise,spam_food,(noise),No,,No,No,Hungry After the Hunt We Deliver to Every Palace.eml,Hungry After the Hunt? We Deliver to Every Palace
CROWN00000340,King Henry VIII,routine,approval,(routine),No,,No,No,Re The christmas revels quarterly.eml,Re: The christmas revels (quarterly)
CROWN00000341,Thomas Cromwell,noise,newsletter,(noise),No,,No,No,Tudor Times Weekly  21 Feb 1529.eml,Tudor Times Weekly — 21 Feb 1529
CROWN00000342,King Henry VIII,noise,newsletter,(noise),No,,No,No,Tudor Times Weekly  01 Mar 1529.eml,Tudor Times Weekly — 01 Mar 1529
CROWN00000343,Queen Anne Boleyn,noise,calendar,(noise),No,,No,No,Invitation Grand Joust at the Shrovetide Lists.eml,Invitation: Grand Joust at the Shrovetide Lists
CROWN00000344,Thomas Cromwell,noise,it_notice,(noise),No,,No,No,New Quill Procurement Policy  Effective Immediately.eml,New Quill Procurement Policy — Effective Immediately
CROWN00000345,King Henry VIII,routine,request,(routine),No,,No,No,The wardrobe accounts quarterly.eml,The wardrobe accounts (quarterly)
CROWN00000346,King Henry VIII,routine,approval,(routine),No,,No,No,Re The wardrobe accounts quarterly.eml,Re: The wardrobe accounts (quarterly)
CROWN00000347,Queen Anne Boleyn,narrative,great_matter,The Great Matter,No,,No,No,A word about the legatine court records.eml,A word about the legatine court records
CROWN00000348,Queen Anne Boleyn,narrative,great_matter,The Great Matter,No,,No,No,Notes_great_matter_nar-00059.docx,Notes on the legatine court records
CROWN00000349,Queen Anne Boleyn,narrative,great_matter,The Great Matter,No,,No,No,Re A word about the legatine court records.eml,Re: A word about the legatine court records
CROWN00000350,King Henry VIII,noise,bounce,(noise),No,,No,No,Undeliverable The Progress Itinerary.eml,Undeliverable: The Progress Itinerary
CROWN00000351,Thomas Cromwell,noise,spam_food,(noise),No,,No,No,Lenten Special  No Meat Much Cheese Still Glorious.eml,"Lenten Special — No Meat, Much Cheese, Still Glorious"
CROWN00000352,King Henry VIII,noise,it_notice,(noise),No,,No,No,Scheduled Maintenance The Royal Scriptorium Sunday 2am-6am.eml,"Scheduled Maintenance: The Royal Scriptorium (Sunday, 2am-6am)"
CROWN00000353,King Henry VIII,noise,newsletter,(noise),No,,No,No,Jousting Monthly Lists Lances  League Tables.eml,"Jousting Monthly: Lists, Lances & League Tables"
CROWN00000354,Queen Anne Boleyn,narrative,great_matter,The Great Matter,No,,No,No,the oath of the clergy  for your consideration.eml,the oath of the clergy — for your consideration
CROWN00000355,Queen Anne Boleyn,routine,report,(routine),No,Confidential,No,No,The subsidy assessment for sussex quarterly.eml,The subsidy assessment for sussex (quarterly)
CROWN00000356,Queen Anne Boleyn,routine,approval,(routine),No,,No,No,Re The subsidy assessment for sussex quarterly.eml,Re: The subsidy assessment for sussex (quarterly)
CROWN00000357,Queen Anne Boleyn,noise,it_notice,(noise),No,,No,No,Mailbox Quota Warning Thy Coffer is 90 Full.eml,Mailbox Quota Warning: Thy Coffer is 90% Full
CROWN00000358,Queen Anne Boleyn,loose,xlsx,(loose),No,,No,No,Treasury_Ledger_1529_Lady Day_anne_boleyn054.xlsx,Treasury Ledger — Lady Day 1529
CROWN00000359,King Henry VIII,routine,concern,(routine),No,Confidential,No,No,The embassy to france  for approval.eml,The embassy to france — for approval
CROWN00000360,King Henry VIII,routine,concern,(routine),No,,No,No,Report_rtn-00780.pdf,Report — the embassy to France
CROWN00000361,King Henry VIII,routine,approval,(routine),No,,No,No,Re The embassy to france  for approval.eml,Re: The embassy to france — for approval
CROWN00000362,King Henry VIII,noise,it_notice,(noise),No,,No,No,New Quill Procurement Policy  Effective Immediately.eml,New Quill Procurement Policy — Effective Immediately
CROWN00000363,King Henry VIII,noise,it_notice,(noise),No,,No,No,Quill_Procurement_Policy_Q-1536.docx,Quill Procurement Policy (Form Q-1536)
CROWN00000364,Queen Anne Boleyn,noise,spam_food,(noise),No,,No,No,NEW The Hampton Court Meat Feast Feeds a Whole Privy Council.eml,NEW: The Hampton Court Meat Feast (Feeds a Whole Privy Council)
CROWN00000365,Queen Anne Boleyn,noise,auto_reply,(noise),No,,No,No,Automatic reply The Victualling Of The Fleet.eml,Automatic reply: The Victualling Of The Fleet
CROWN00000366,Thomas Cromwell,narrative,great_matter,The Great Matter,No,Confidential,No,No,the drafting of the Act of Appeals  action required.eml,the drafting of the Act of Appeals — action required
CROWN00000367,King Henry VIII,narrative,foreign_language,The Great Matter,No,,No,No,De vuestra fiel esposa.eml,De vuestra fiel esposa
CROWN00000368,Thomas Cromwell,noise,calendar,(noise),No,,No,No,Invitation Grand Joust at the Shrovetide Lists.eml,Invitation: Grand Joust at the Shrovetide Lists
CROWN00000369,Thomas Cromwell,noise,calendar,(noise),No,,No,No,invite.ics,Invitation — Grand Joust at the Shrovetide Lists
CROWN00000370,Queen Anne Boleyn,routine,request,(routine),No,Confidential,No,No,The wardrobe accounts  for approval.eml,The wardrobe accounts — for approval
CROWN00000371,Queen Anne Boleyn,routine,request,(routine),No,,No,No,Invoice_rtn-00662.xlsx,Account — the wardrobe accounts
CROWN00000372,Thomas Cromwell,noise,newsletter,(noise),No,,No,No,Jousting Monthly Lists Lances  League Tables.eml,"Jousting Monthly: Lists, Lances & League Tables"
CROWN00000373,King Henry VIII,narrative,great_matter,The Great Matter,No,,No,No,the legatine court records further to our last.eml,the legatine court records (further to our last)
CROWN00000374,Queen Anne Boleyn,routine,approval,(routine),No,,No,No,Re The wardrobe accounts  for approval.eml,Re: The wardrobe accounts — for approval
CROWN00000375,Thomas Cromwell,noise,newsletter,(noise),No,,No,No,Tudor Times Weekly  14 Jul 1529.eml,Tudor Times Weekly — 14 Jul 1529
CROWN00000376,Queen Anne Boleyn,narrative,great_matter,The Great Matter,No,,No,No,Note on the appeal to Rome.eml,Note on the appeal to Rome
CROWN00000377,Queen Anne Boleyn,narrative,great_matter,The Great Matter,No,,No,No,Re Note on the appeal to Rome.eml,Re: Note on the appeal to Rome
CROWN00000378,King Henry VIII,narrative,great_matter,The Great Matter,No,,No,No,Note on the Imperial ambassadors protests.eml,Note on the Imperial ambassador's protests
CROWN00000379,King Henry VIII,noise,auto_reply,(noise),No,,No,No,Automatic reply The Subsidy Roll.eml,Automatic reply: The Subsidy Roll
CROWN00000380,King Henry VIII,narrative,great_matter,The Great Matter,No,Confidential,No,No,The legatine court at Blackfriars.eml,The legatine court at Blackfriars
CROWN00000381,King Henry VIII,narrative,great_matter,The Great Matter,No,Confidential,No,No,Query on the universities verdicts.eml,Query on the universities' verdicts
CROWN00000382,Queen Anne Boleyn,noise,phishing,(noise),No,,No,No,URGENT Verify Thy Royal Account Within 24 Hours.eml,URGENT: Verify Thy Royal Account Within 24 Hours
CROWN00000383,King Henry VIII,routine,report,(routine),No,,No,No,The royal barge repairs quarterly.eml,The royal barge repairs (quarterly)
CROWN00000384,Queen Anne Boleyn,routine,request,(routine),No,,No,No,The new years gift roll  for approval.eml,The new year's gift roll — for approval
CROWN00000385,Queen Anne Boleyn,routine,request,(routine),No,,No,No,WorkOrder_rtn-00763.docx,Work Order — the New Year's gift roll
CROWN00000386,Queen Anne Boleyn,noise,spam_scam,(noise),No,,No,No,CONGRATULATIONS  You Have Won the Royal Spanish Lottery 5000.eml,"CONGRATULATIONS — You Have Won the Royal Spanish Lottery (500,000 Ducats)"
CROWN00000387,Thomas Cromwell,noise,spam_food,(noise),No,,No,No,NEW The Hampton Court Meat Feast Feeds a Whole Privy Council.eml,NEW: The Hampton Court Meat Feast (Feeds a Whole Privy Council)
CROWN00000388,Thomas Cromwell,noise,spam_food,(noise),No,,No,No,Hungry After the Hunt We Deliver to Every Palace.eml,Hungry After the Hunt? We Deliver to Every Palace
CROWN00000389,Queen Anne Boleyn,noise,spam_scam,(noise),No,,No,No,CONGRATULATIONS  You Have Won the Royal Spanish Lottery 5000.eml,"CONGRATULATIONS — You Have Won the Royal Spanish Lottery (500,000 Ducats)"
CROWN00000390,Queen Anne Boleyn,routine,request,(routine),No,Confidential,No,No,The purveyance of venison quarterly.eml,The purveyance of venison (quarterly)
CROWN00000391,Queen Anne Boleyn,noise,auto_reply,(noise),No,,No,No,Automatic reply The Wool Staple At Calais.eml,Automatic reply: The Wool Staple At Calais
CROWN00000392,Thomas Cromwell,noise,it_notice,(noise),No,,No,No,New Quill Procurement Policy  Effective Immediately.eml,New Quill Procurement Policy — Effective Immediately
CROWN00000393,Thomas Cromwell,noise,phishing,(noise),No,,No,No,URGENT Verify Thy Royal Account Within 24 Hours.eml,URGENT: Verify Thy Royal Account Within 24 Hours
CROWN00000394,King Henry VIII,narrative,great_matter,The Great Matter,No,Internal - Privy Council,No,No,Note on the legatine court records.eml,Note on the legatine court records
CROWN00000395,Queen Anne Boleyn,noise,it_notice,(noise),No,,No,No,Mailbox Quota Warning Thy Coffer is 90 Full.eml,Mailbox Quota Warning: Thy Coffer is 90% Full
CROWN00000396,King Henry VIII,narrative,great_matter,The Great Matter,No,,No,No,the universities verdicts further to our last.eml,the universities' verdicts (further to our last)
CROWN00000397,Queen Anne Boleyn,routine,logistics,(routine),No,,No,No,The progress to windsor castle.eml,The progress to windsor castle
CROWN00000398,Queen Anne Boleyn,noise,newsletter,(noise),No,,No,No,Jousting Monthly Lists Lances  League Tables.eml,"Jousting Monthly: Lists, Lances & League Tables"
CROWN00000399,King Henry VIII,narrative,great_matter,The Great Matter,No,,No,No,Re The legatine court at Blackfriars.eml,Re: The legatine court at Blackfriars
CROWN00000400,King Henry VIII,routine,report,(routine),No,,No,No,The garter ceremony arrangements.eml,The garter ceremony arrangements
CROWN00000401,Thomas Cromwell,routine,approval,(routine),No,,No,No,Re The garter ceremony arrangements.eml,Re: The garter ceremony arrangements
CROWN00000402,Queen Anne Boleyn,loose,xlsx,(loose),No,,No,No,Treasury_Ledger_1529_Lady Day_anne_boleyn082.xlsx,Treasury Ledger — Lady Day 1529
CROWN00000403,King Henry VIII,routine,request,(routine),No,Confidential,No,No,Note the victualling of the fleet.eml,Note: the victualling of the fleet
CROWN00000404,Thomas Cromwell,noise,calendar,(noise),No,,No,No,Invitation Attendance Requested at Tower Green 9 oclock.eml,"Invitation: Attendance Requested at Tower Green, 9 o'clock"
CROWN00000405,Thomas Cromwell,noise,phishing,(noise),No,,No,No,URGENT Verify Thy Royal Account Within 24 Hours.eml,URGENT: Verify Thy Royal Account Within 24 Hours
CROWN00000406,Thomas Cromwell,noise,it_notice,(noise),No,,No,No,Reminder Mandatory Doublet  Hose Compliance Training.eml,Reminder: Mandatory Doublet & Hose Compliance Training
CROWN00000407,King Henry VIII,routine,concern,(routine),No,,No,No,Note the purveyance of venison.eml,Note: the purveyance of venison
CROWN00000408,Queen Anne Boleyn,noise,spam_food,(noise),No,,No,No,Lenten Special  No Meat Much Cheese Still Glorious.eml,"Lenten Special — No Meat, Much Cheese, Still Glorious"
CROWN00000409,Queen Anne Boleyn,noise,spam_food,(noise),No,,No,No,Lenten Special  No Meat Much Cheese Still Glorious.eml,"Lenten Special — No Meat, Much Cheese, Still Glorious"
CROWN00000410,King Henry VIII,noise,calendar,(noise),No,,No,No,Invitation Coronation Banquet.eml,Invitation: Coronation Banquet
CROWN00000411,Queen Anne Boleyn,noise,spam_vendor,(noise),No,,No,No,New Leeches In Stock  Free Delivery on Tonics.eml,New Leeches In Stock + Free Delivery on Tonics
CROWN00000412,King Henry VIII,routine,concern,(routine),No,Confidential,No,No,The falconry mews  for approval.eml,The falconry mews — for approval
CROWN00000413,Thomas Cromwell,routine,logistics,(routine),No,,No,No,Note the purveyance of venison.eml,Note: the purveyance of venison
CROWN00000414,Thomas Cromwell,noise,phishing,(noise),No,,No,No,URGENT Verify Thy Royal Account Within 24 Hours.eml,URGENT: Verify Thy Royal Account Within 24 Hours
CROWN00000415,Queen Anne Boleyn,routine,report,(routine),No,,No,No,Re the repair of the great clock.eml,Re: the repair of the great clock
CROWN00000416,Thomas Cromwell,noise,it_notice,(noise),No,,No,No,Password Rotation Required Change Thy Cipher This Month.eml,Password Rotation Required: Change Thy Cipher This Month
CROWN00000417,King Henry VIII,noise,spam_vendor,(noise),No,,No,No,Tapestries Half Price  This Quarter Only.eml,Tapestries Half Price — This Quarter Only
CROWN00000418,King Henry VIII,narrative,great_matter,The Great Matter,No,,No,No,Minutes touching the Imperial ambassadors protests.eml,Minutes touching the Imperial ambassador's protests
CROWN00000419,King Henry VIII,narrative,great_matter,The Great Matter,No,,No,No,Re Minutes touching the Imperial ambassadors protests.eml,Re: Minutes touching the Imperial ambassador's protests
CROWN00000420,Thomas Cromwell,noise,spam_food,(noise),No,,No,No,Hungry After the Hunt We Deliver to Every Palace.eml,Hungry After the Hunt? We Deliver to Every Palace
CROWN00000421,Queen Anne Boleyn,routine,logistics,(routine),No,,No,No,The garter ceremony arrangements.eml,The garter ceremony arrangements
CROWN00000422,King Henry VIII,noise,newsletter,(noise),No,,No,No,Tudor Times Weekly  14 Feb 1530.eml,Tudor Times Weekly — 14 Feb 1530
CROWN00000423,King Henry VIII,noise,newsletter,(noise),No,,No,No,Tudor_Times_Weekly.pdf,Tudor Times Weekly — Full Issue
CROWN00000424,Thomas Cromwell,routine,report,(routine),No,,No,No,Re the victualling of the fleet.eml,Re: the victualling of the fleet
CROWN00000425,Thomas Cromwell,narrative,great_matter,The Great Matter,No,,No,No,the Imperial ambassadors protests an update.eml,the Imperial ambassador's protests: an update
CROWN00000426,Queen Anne Boleyn,noise,spam_food,(noise),No,,No,No,Two Trenchers for One  This Sennight Only at Ye Olde Pizza H.eml,Two Trenchers for One — This Sennight Only at Ye Olde Pizza Hut
CROWN00000427,Queen Anne Boleyn,routine,request,(routine),No,,No,No,The wardrobe accounts  for approval.eml,The wardrobe accounts — for approval
CROWN00000428,Thomas Cromwell,noise,newsletter,(noise),No,,No,No,Tudor Times Weekly  21 Feb 1530.eml,Tudor Times Weekly — 21 Feb 1530
CROWN00000429,Thomas Cromwell,noise,newsletter,(noise),No,,No,No,Tudor Times Weekly  05 Mar 1530.eml,Tudor Times Weekly — 05 Mar 1530
CROWN00000430,King Henry VIII,noise,spam_scam,(noise),No,,No,No,CONGRATULATIONS  You Have Won the Royal Spanish Lottery 5000.eml,"CONGRATULATIONS — You Have Won the Royal Spanish Lottery (500,000 Ducats)"
CROWN00000431,Queen Anne Boleyn,noise,it_notice,(noise),No,,No,No,Password Rotation Required Change Thy Cipher This Month.eml,Password Rotation Required: Change Thy Cipher This Month
CROWN00000432,King Henry VIII,noise,spam_food,(noise),No,,No,No,NEW The Hampton Court Meat Feast Feeds a Whole Privy Council.eml,NEW: The Hampton Court Meat Feast (Feeds a Whole Privy Council)
CROWN00000433,Thomas Cromwell,narrative,foreign_language,The Great Matter,No,Confidential,No,No,The citation from Rome in Latin.eml,The citation from Rome (in Latin)
CROWN00000434,Thomas Cromwell,narrative,foreign_language,The Great Matter,No,Confidential,No,No,Citatio_Apostolica.pdf,Citatio Apostolica
CROWN00000435,Queen Anne Boleyn,noise,auto_reply,(noise),No,,No,No,Automatic reply The Ordnance Accounts.eml,Automatic reply: The Ordnance Accounts
CROWN00000436,Queen Anne Boleyn,noise,spam_vendor,(noise),No,,No,No,New Leeches In Stock  Free Delivery on Tonics.eml,New Leeches In Stock + Free Delivery on Tonics
CROWN00000437,Queen Anne Boleyn,loose,docx,(loose),No,,No,No,Personal_Memorandum_anne_boleyn019.docx,Personal Memorandum
CROWN00000438,Queen Anne Boleyn,routine,report,(routine),No,,No,No,Re the New Years gift roll.eml,Re: the New Year's gift roll
CROWN00000439,Queen Anne Boleyn,noise,it_notice,(noise),No,,No,No,Password Rotation Required Change Thy Cipher This Month.eml,Password Rotation Required: Change Thy Cipher This Month
CROWN00000440,Thomas Cromwell,routine,report,(routine),No,,No,No,The tiltyard schedule.eml,The tiltyard schedule
CROWN00000441,Thomas Cromwell,routine,approval,(routine),No,,No,No,Re The tiltyard schedule.eml,Re: The tiltyard schedule
CROWN00000442,King Henry VIII,routine,report,(routine),No,,No,No,The subsidy assessment for surrey  for approval.eml,The subsidy assessment for surrey — for approval
CROWN00000443,Queen Anne Boleyn,routine,concern,(routine),No,,No,No,The falconry mews quarterly.eml,The falconry mews (quarterly)
CROWN00000444,Queen Anne Boleyn,routine,concern,(routine),No,,No,No,WorkOrder_rtn-00465.docx,Work Order — the falconry mews
CROWN00000445,Thomas Cromwell,loose,docx,(loose),No,Internal - Privy Council,No,No,Council_Notes_15300519_cromwell134.docx,Privy Council Notes — 19 May 1530
CROWN00000446,King Henry VIII,noise,newsletter,(noise),No,,No,No,Tudor Times Weekly  21 May 1530.eml,Tudor Times Weekly — 21 May 1530
CROWN00000447,Queen Anne Boleyn,noise,it_notice,(noise),No,,No,No,Mailbox Quota Warning Thy Coffer is 90 Full.eml,Mailbox Quota Warning: Thy Coffer is 90% Full
CROWN00000448,Thomas Cromwell,routine,report,(routine),No,,No,No,The embassy to france.eml,The embassy to france
CROWN00000449,Thomas Cromwell,routine,report,(routine),No,,No,No,Invoice_rtn-00807.xlsx,Account — the embassy to France
CROWN00000450,Queen Anne Boleyn,noise,newsletter,(noise),No,,No,No,Tudor Times Weekly  19 Jun 1530.eml,Tudor Times Weekly — 19 Jun 1530
CROWN00000451,Queen Anne Boleyn,noise,newsletter,(noise),No,,No,No,Tudor_Times_Weekly.pdf,Tudor Times Weekly — Full Issue
CROWN00000452,King Henry VIII,routine,request,(routine),No,,No,No,The repair of the great clock.eml,The repair of the great clock
CROWN00000453,King Henry VIII,routine,report,(routine),No,,No,No,Note the Garter ceremony arrangements.eml,Note: the Garter ceremony arrangements
CROWN00000454,King Henry VIII,routine,report,(routine),No,,No,No,Invoice_rtn-00661.xlsx,Account — the Garter ceremony arrangements
CROWN00000455,King Henry VIII,narrative,great_matter,The Great Matter,No,Confidential,No,No,A word about the Imperial ambassadors protests.eml,A word about the Imperial ambassador's protests
CROWN00000456,King Henry VIII,narrative,great_matter,The Great Matter,No,,No,No,Re A word about the Imperial ambassadors protests.eml,Re: A word about the Imperial ambassador's protests
CROWN00000457,Thomas Cromwell,noise,calendar,(noise),No,,No,No,Invitation Attendance Requested at Tower Green 9 oclock.eml,"Invitation: Attendance Requested at Tower Green, 9 o'clock"
CROWN00000458,King Henry VIII,routine,logistics,(routine),No,Confidential,No,No,The ordnance survey.eml,The ordnance survey
CROWN00000459,Queen Anne Boleyn,routine,logistics,(routine),No,,No,No,Note the purveyance of venison.eml,Note: the purveyance of venison
CROWN00000460,Queen Anne Boleyn,routine,approval,(routine),No,,No,No,Re Note the purveyance of venison.eml,Re: Note: the purveyance of venison
CROWN00000461,Queen Anne Boleyn,noise,calendar,(noise),No,,No,No,Invitation Coronation Banquet.eml,Invitation: Coronation Banquet
CROWN00000462,Queen Anne Boleyn,noise,calendar,(noise),No,,No,No,invite.ics,Invitation — Coronation Banquet
CROWN00000463,Queen Anne Boleyn,routine,approval,(routine),No,,No,No,The victualling of the fleet  for approval.eml,The victualling of the fleet — for approval
CROWN00000464,Queen Anne Boleyn,noise,calendar,(noise),No,,No,No,Invitation Christmas Revels.eml,Invitation: Christmas Revels
CROWN00000465,Queen Anne Boleyn,noise,calendar,(noise),No,,No,No,invite.ics,Invitation — Christmas Revels
CROWN00000466,Thomas Cromwell,noise,spam_vendor,(noise),No,,No,No,New Leeches In Stock  Free Delivery on Tonics.eml,New Leeches In Stock + Free Delivery on Tonics
CROWN00000467,Queen Anne Boleyn,routine,report,(routine),No,,No,No,Note the victualling of the fleet.eml,Note: the victualling of the fleet
CROWN00000468,Queen Anne Boleyn,routine,approval,(routine),No,,No,No,Note the kitchen accounts for the quarter.eml,Note: the kitchen accounts for the quarter
CROWN00000469,Queen Anne Boleyn,routine,approval,(routine),No,,No,No,Re Note the kitchen accounts for the quarter.eml,Re: Note: the kitchen accounts for the quarter
CROWN00000470,Thomas Cromwell,narrative,great_matter,The Great Matter,No,Internal - Privy Council,No,No,Query on the drafting of the Act of Appeals.eml,Query on the drafting of the Act of Appeals
CROWN00000471,Thomas Cromwell,narrative,great_matter,The Great Matter,No,,No,No,Re Query on the drafting of the Act of Appeals.eml,Re: Query on the drafting of the Act of Appeals
CROWN00000472,Queen Anne Boleyn,noise,newsletter,(noise),No,,No,No,Tudor Times Weekly  11 Sep 1530.eml,Tudor Times Weekly — 11 Sep 1530
CROWN00000473,King Henry VIII,noise,newsletter,(noise),No,,No,No,Tudor Times Weekly  14 Sep 1530.eml,Tudor Times Weekly — 14 Sep 1530
CROWN00000474,King Henry VIII,noise,newsletter,(noise),No,,No,No,Tudor_Times_Weekly.pdf,Tudor Times Weekly — Full Issue
CROWN00000475,King Henry VIII,noise,it_notice,(noise),No,,No,No,New Quill Procurement Policy  Effective Immediately.eml,New Quill Procurement Policy — Effective Immediately
CROWN00000476,King Henry VIII,noise,it_notice,(noise),No,,No,No,Quill_Procurement_Policy_Q-1536.docx,Quill Procurement Policy (Form Q-1536)
CROWN00000477,Thomas Cromwell,noise,phishing,(noise),No,,No,No,URGENT Verify Thy Royal Account Within 24 Hours.eml,URGENT: Verify Thy Royal Account Within 24 Hours
CROWN00000478,Thomas Cromwell,noise,spam_scam,(noise),No,,No,No,CONGRATULATIONS  You Have Won the Royal Spanish Lottery 5000.eml,"CONGRATULATIONS — You Have Won the Royal Spanish Lottery (500,000 Ducats)"
CROWN00000479,King Henry VIII,noise,phishing,(noise),No,,No,No,URGENT Verify Thy Royal Account Within 24 Hours.eml,URGENT: Verify Thy Royal Account Within 24 Hours
CROWN00000480,Queen Anne Boleyn,narrative,great_matter,The Great Matter,No,,No,No,the legatine court records further to our last.eml,the legatine court records (further to our last)
CROWN00000481,King Henry VIII,routine,concern,(routine),No,,No,No,Re the muster of able men in Sussex.eml,Re: the muster of able men in Sussex
CROWN00000482,Thomas Cromwell,routine,approval,(routine),No,,No,No,The wine shipment from gascony  for approval.eml,The wine shipment from gascony — for approval
CROWN00000483,Queen Anne Boleyn,noise,it_notice,(noise),No,,No,No,Reminder Mandatory Doublet  Hose Compliance Training.eml,Reminder: Mandatory Doublet & Hose Compliance Training
CROWN00000484,King Henry VIII,routine,approval,(routine),No,,No,No,Re the muster of able men in Sussex.eml,Re: the muster of able men in Sussex
CROWN00000485,King Henry VIII,noise,spam_food,(noise),No,,No,No,Two Trenchers for One  This Sennight Only at Ye Olde Pizza H.eml,Two Trenchers for One — This Sennight Only at Ye Olde Pizza Hut
CROWN00000486,King Henry VIII,routine,request,(routine),No,,No,No,Re the works at Nonsuch Palace.eml,Re: the works at Nonsuch Palace
CROWN00000487,Thomas Cromwell,noise,spam_scam,(noise),No,,No,No,CONGRATULATIONS  You Have Won the Royal Spanish Lottery 5000.eml,"CONGRATULATIONS — You Have Won the Royal Spanish Lottery (500,000 Ducats)"
CROWN00000488,Thomas Cromwell,noise,it_notice,(noise),No,,No,No,Password Rotation Required Change Thy Cipher This Month.eml,Password Rotation Required: Change Thy Cipher This Month
CROWN00000489,Queen Anne Boleyn,noise,newsletter,(noise),No,,No,No,Tudor Times Weekly  20 Nov 1530.eml,Tudor Times Weekly — 20 Nov 1530
CROWN00000490,Thomas Cromwell,routine,request,(routine),No,,No,No,The royal barge repairs quarterly.eml,The royal barge repairs (quarterly)
CROWN00000491,King Henry VIII,noise,it_notice,(noise),No,,No,No,Scheduled Maintenance The Royal Scriptorium Sunday 2am-6am.eml,"Scheduled Maintenance: The Royal Scriptorium (Sunday, 2am-6am)"
CROWN00000492,Thomas Cromwell,noise,spam_food,(noise),No,,No,No,Two Trenchers for One  This Sennight Only at Ye Olde Pizza H.eml,Two Trenchers for One — This Sennight Only at Ye Olde Pizza Hut
CROWN00000493,Queen Anne Boleyn,routine,concern,(routine),No,,No,No,The royal stables accounts quarterly.eml,The royal stables accounts (quarterly)
CROWN00000494,King Henry VIII,routine,request,(routine),No,,No,No,The subsidy assessment for kent  for approval.eml,The subsidy assessment for kent — for approval
CROWN00000495,Queen Anne Boleyn,noise,phishing,(noise),No,,No,No,URGENT Verify Thy Royal Account Within 24 Hours.eml,URGENT: Verify Thy Royal Account Within 24 Hours
CROWN00000496,Thomas Cromwell,loose,xlsx,(loose),No,Confidential,No,No,Inventory_JewelHouse_cromwell147.xlsx,Inventory of the Jewel House
CROWN00000497,King Henry VIII,routine,report,(routine),No,,No,No,The royal stables accounts quarterly.eml,The royal stables accounts (quarterly)
CROWN00000498,Thomas Cromwell,routine,request,(routine),No,,No,No,Re the Christmas revels.eml,Re: the Christmas revels
